title,price,asin
Finding Your Way in a Wild New World: Reclaim Your True Nature to Create the Life You Want,13.9646875,1451624484
The Princess and the Hound,4.668181818181818,006113189X
Perilous,11.296666666666667,0979607086
What Happened To Polly (The Hamilton Sisters Book 1),3.836923076923077,B006OU2NNM
Broken Hearted Ghoul (Taxi for the Dead Paranormal Mysteries) (Volume 1),7.516363636363637,1495933369
"30 Days to Better Thinking and Better Living Through Critical Thinking: A Guide for Improving Every Aspect of Your Life, Revised and Expanded",25.208928571428572,0133092569
WBI: Witches Bureau Of Investigation (WBI Series Book 1),3.4146153846153844,B008UI4UXM
"I, Iago: A Novel",11.676363636363636,0062026879
The Key,6.9571875,084394482X
The Medium Next Door: Adventures of a Real-Life Ghost Whisperer,10.941071428571428,075731564X
"The Reptile Room: Or, Murder! (A Series of Unfortunate Events, Book 2)",11.665000000000001,0061146315
Debunking 9/11 Myths: Why Conspiracy Theories Can't Stand Up to the Facts,15.340454545454545,158816635X
Topaz Heat: The Jewel Series (Volume 3),62.24333333333333,0615644295
Zeroville,11.7852,1933372397
The Plot Thickens: 8 Ways to Bring Fiction to Life,14.39857142857143,0312284675
"Bittersweet: Thoughts on Change, Grace, and Learning the Hard Way",10.3196875,0310328160
Mad Science Institute,8.2425,0984850708
"Bitten: Book One of the ""Bitten"" Vampire Series (Bitten Vampire Series 1)",2.94875,B005J5CZBS
The Queen of the South,11.3936,0330413147
"Taste Buds and Molecules: The Art and Science of Food, Wine, and Flavor",19.595185185185183,1118141849
Build a Smokehouse: Storey Country Wisdom Bulletin A-81,8.632962962962964,0882662953
Trinity: A Brethren Novel,4,1613330685
Becoming a Contagious Christian,11.320625,0310210089
The Tsar's Dwarf,7.976666666666667,0979018803
Mistaken Identities,7.5025,1495264475
Tame Me,10.6068,1940887038
Born on a Rotten Day,14.998620689655173,0743225627
"The Wedding Dress (Four Weddings and a Fiasco, Book 4)",3.6577777777777776,B009RRNRXO
"Mocha, Moonlight, and Murder (Under the Moonlight)",8.172,1620151405
Upstate,9.109375,0312332688
Once in Every Generation,12.158000000000001,1604940255
Our Lady of Kibeho: Mary Speaks to the World from the Heart of Africa,13.16,140192378X
Already Home (Sons of Chance Series),3.7726086956521736,B007H90BJM
Andrew Carnegie,12.11625,0143112449
Slade (Tales of the Were),11.989230769230769,1483967581
The Blue Enchantress (Charles Towne Belles),11.273333333333333,1602601577
The Thing Around Your Neck,14.629583333333333,0307271072
Bran Hambric: The Farfield Curse,6.791250000000001,1402218575
